Process 1 running at 1Hz
[1678248893584976351] | 0,1,0 | 0 | SEND
[1678248894585271003] | 2,2,0 | 0 | RECEIVE
[1678248895585869396] | 4,3,0 | 1 | RECEIVE
[1678248896586270625] | 5,4,0 | 1 | RECEIVE
[1678248897586555847] | 5,5,8 | 1 | RECEIVE
[1678248898586888280] | 11,6,8 | 2 | RECEIVE
[1678248899587147170] | 13,7,8 | 1 | RECEIVE
[1678248900587403684] | 15,8,8 | 3 | RECEIVE
[1678248901587661665] | 16,9,24 | 5 | RECEIVE
[1678248902587928863] | 19,10,24 | 5 | RECEIVE
[1678248903588100308] | 21,11,24 | 7 | RECEIVE
[1678248904588380216] | 21,12,29 | 6 | RECEIVE
[1678248905588614657] | 21,13,30 | 6 | RECEIVE
[1678248906588876475] | 24,14,30 | 7 | RECEIVE
[1678248907589174120] | 24,15,32 | 8 | RECEIVE
[1678248908589439638] | 28,16,35 | 7 | RECEIVE
[1678248909589700825] | 29,17,35 | 7 | RECEIVE
[1678248910589934424] | 30,18,35 | 7 | RECEIVE
[1678248911590190790] | 30,19,47 | 7 | RECEIVE
[1678248912590344628] | 30,20,50 | 8 | RECEIVE
[1678248913590573615] | 30,21,51 | 9 | RECEIVE
[1678248914590853166] | 30,22,52 | 10 | RECEIVE
[1678248915591033751] | 41,23,52 | 11 | RECEIVE
[1678248916591243110] | 48,24,52 | 12 | RECEIVE
[1678248917591522590] | 49,25,52 | 12 | RECEIVE
[1678248918591836221] | 52,26,52 | 11 | RECEIVE
[1678248919592084410] | 52,27,72 | 11 | RECEIVE
[1678248920592339023] | 52,28,73 | 12 | RECEIVE
[1678248921592589865] | 52,29,76 | 12 | RECEIVE
[1678248922592842661] | 52,30,77 | 12 | RECEIVE
[1678248923593108447] | 52,31,80 | 13 | RECEIVE
[1678248924593370321] | 52,32,83 | 12 | RECEIVE
[1678248925593663553] | 52,33,85 | 11 | RECEIVE
[1678248926593913622] | 66,34,85 | 11 | RECEIVE
[1678248927594152307] | 66,35,90 | 10 | RECEIVE
[1678248928594342590] | 69,36,90 | 10 | RECEIVE
[1678248929594566746] | 69,37,93 | 9 | RECEIVE
[1678248930594810946] | 76,38,93 | 9 | RECEIVE
[1678248931594982510] | 79,39,93 | 9 | RECEIVE
[1678248932595191019] | 79,40,106 | 10 | RECEIVE
[1678248933595352385] | 82,41,106 | 10 | RECEIVE
[1678248934595498664] | 85,42,111 | 12 | RECEIVE
[1678248935595700745] | 88,43,111 | 13 | RECEIVE
[1678248936595931322] | 88,44,119 | 15 | RECEIVE
[1678248937596155332] | 88,45,129 | 17 | RECEIVE
[1678248938596390726] | 105,46,129 | 20 | RECEIVE
[1678248939596597834] | 105,47,145 | 20 | RECEIVE
[1678248940596906001] | 112,48,145 | 21 | RECEIVE
[1678248941597153056] | 112,49,152 | 21 | RECEIVE
[1678248942597647141] | 112,50,154 | 21 | RECEIVE
[1678248943597911446] | 120,51,156 | 22 | RECEIVE
[1678248944598169255] | 120,52,161 | 21 | RECEIVE
[1678248945598543489] | 122,53,161 | 22 | RECEIVE
[1678248946599101126] | 123,54,161 | 24 | RECEIVE
[1678248947599385333] | 124,55,161 | 24 | RECEIVE
[1678248948599794416] | 125,56,161 | 24 | RECEIVE
[1678248949600128000] | 125,57,168 | 25 | RECEIVE
[1678248950600439932] | 125,58,169 | 26 | RECEIVE
[1678248951600939737] | 125,59,170 | 26 | RECEIVE
[1678248952601509034] | 125,60,173 | 27 | RECEIVE
[1678248953601765370] | 125,61,174 | 28 | RECEIVE
[1678248954602226550] | 132,62,174 | 28 | RECEIVE
