Process 1 running at 1Hz
[1678249032264262313] | 0,1,0 | 0 | INTERNAL
[1678249033264522299] | 0,2,0 | 0 | INTERNAL
[1678249034264816787] | 0,3,0 | 0 | INTERNAL
[1678249035265091509] | 2,4,0 | 0 | RECEIVE
[1678249036265365531] | 2,5,0 | 0 | INTERNAL
[1678249037265975492] | 2,6,0 | 0 | INTERNAL
[1678249038266646423] | 2,7,0 | 0 | DOUBLE SEND
[1678249039267381050] | 2,8,0 | 0 | INTERNAL
[1678249040267670645] | 2,9,0 | 0 | INTERNAL
[1678249041267954791] | 2,10,16 | 0 | RECEIVE
[1678249042268486456] | 2,11,19 | 0 | RECEIVE
[1678249043269025524] | 2,12,21 | 0 | RECEIVE
[1678249044269568013] | 2,13,21 | 0 | INTERNAL
[1678249045269895040] | 2,14,21 | 0 | SEND
[1678249046270412106] | 2,15,21 | 0 | INTERNAL
[1678249047270951381] | 2,16,29 | 0 | RECEIVE
[1678249048271461810] | 2,17,29 | 0 | INTERNAL
[1678249049271967979] | 2,18,29 | 0 | INTERNAL
[1678249050272545106] | 2,19,29 | 0 | INTERNAL
[1678249051272784060] | 2,20,29 | 0 | INTERNAL
[1678249052273241268] | 2,21,29 | 0 | INTERNAL
[1678249053273602303] | 2,22,29 | 0 | DOUBLE SEND
[1678249054273975141] | 2,23,29 | 0 | INTERNAL
[1678249055274249502] | 2,24,45 | 0 | RECEIVE
[1678249056275212710] | 2,25,45 | 0 | INTERNAL
[1678249057275514308] | 2,26,45 | 0 | INTERNAL
[1678249058275789576] | 25,27,45 | 1 | RECEIVE
[1678249059276060791] | 25,28,51 | 1 | RECEIVE
[1678249060276618567] | 26,29,51 | 0 | RECEIVE
[1678249061277019757] | 26,30,51 | 0 | SEND
[1678249062277263174] | 26,31,51 | 0 | INTERNAL
[1678249063277530965] | 30,32,54 | 0 | RECEIVE
[1678249064277781924] | 30,33,54 | 0 | SEND
[1678249065278066127] | 30,34,54 | 0 | SEND
[1678249066278598407] | 30,35,54 | 0 | INTERNAL
[1678249067279130127] | 30,36,54 | 0 | INTERNAL
[1678249068279418589] | 30,37,54 | 0 | INTERNAL
[1678249069279699228] | 37,38,71 | 0 | RECEIVE
[1678249070279955701] | 37,39,71 | 0 | INTERNAL
[1678249071280338447] | 37,40,77 | 0 | RECEIVE
[1678249072280876939] | 37,41,79 | 0 | RECEIVE
[1678249073281170008] | 37,42,79 | 0 | INTERNAL
[1678249074281701375] | 37,43,79 | 0 | INTERNAL
[1678249075282236374] | 37,44,79 | 0 | INTERNAL
[1678249076282548996] | 43,45,79 | 0 | RECEIVE
[1678249077282835637] | 43,46,79 | 0 | INTERNAL
[1678249078283379225] | 45,47,79 | 1 | RECEIVE
[1678249079283936850] | 45,48,90 | 1 | RECEIVE
[1678249080284557541] | 45,49,93 | 0 | RECEIVE
[1678249081284884479] | 48,50,93 | 0 | RECEIVE
[1678249082285204990] | 49,51,99 | 0 | RECEIVE
[1678249083285426116] | 49,52,99 | 0 | INTERNAL
[1678249084285936037] | 51,53,99 | 0 | RECEIVE
[1678249085286461741] | 52,54,99 | 0 | RECEIVE
[1678249086286726726] | 52,55,99 | 0 | INTERNAL
[1678249087287297547] | 52,56,99 | 0 | INTERNAL
[1678249088287512035] | 52,57,99 | 0 | INTERNAL
[1678249089287781419] | 52,58,113 | 0 | RECEIVE
[1678249090288083488] | 52,59,113 | 0 | SEND
[1678249091288628256] | 52,60,113 | 0 | DOUBLE SEND
[1678249092289066724] | 52,61,119 | 0 | RECEIVE
[1678249093289605973] | 52,62,119 | 0 | INTERNAL
